City,Lat,Lon
Tatkon,20.13,96.15
Yezin,19.84,96.27
Pyinmana,19.72,96.22
Ela(Airport),19.61,96.19
Laiway,19.44,96.75
Zayarthiri,19.88,96.36
Motc,19.8,96
Dekkhinathiri,19.68,96.09
No(2)DSGH,19.89,96.26
Otarathiri,19.74,96.08
Pobbathiri,19.83,96.18
Zabuthiri,19.76,96.08
Hmawbi,17.1,96.07
Mingalardone,16.9,96.18
Kabaaye,16.77,96.18
Central Yangon,16.77,96.16
Khayan,16.77,96.53
Hmawbi(Agro),17.5,96.2
Ooco-Island,14.12,93.37
Okkan,17.5,95.85
Hlegu,17.09,96.21
North-Dagon,16.89,96.19
Madauk,16.43,96.01
Pyinoolwin,22.02,96.47
Mandalay,21.98,96.1
Myeikhtila,20.83,95.83
Moekok,22.92,96.5
Myingyan,21.47,95.38
Nyaung-U,21.2,94.92
Yamethin,20.42,96.15
Kyaukse,21.6,96.14
Kyaukpadaung,20.84,95.11
Hlaingtat,20.48,96.11
Lunkyaw,21.81,96.11
TadaU,21.81,95.97
Taunggoo,18.92,96.47
Zaungtu,17.63,96.23
Bago,17.33,96.5
Shwegyin,17.92,96.87
Nyaunglaybin,17.95,96.72
Phyu,18.5,96.45
Taungoo (avia),19.03,96.4
Pyay,18.8,95.22
Thayarwady,17.63,95.8
Kyobinkauk,18.22,95.67
Laydatpyin,18.2,95.57
Okpho,18.13,95.67
Madauk,17.91,96.84
Yeni,19.47,96.27
Chauk,20.9,94.83
Minbu,20.17,94.88
Magway,20.12,94.92
Aunglan,19.37,95.22
Pakokku,21.33,95.08
Taungdwingyi,20.03,95.55
Gangaw,22.17,94.13
Pauk,21.45,94.48
Sinphyugyun,20.55,94.72
Htilin,21.69,94.09
Kyaukthu,21.41,94.1
Saw,21.16,94.15
Thayet,19.19,95.11
Hkamti,25.85,95.69
Homalin,24.87,94.92
Katha,24.17,96.33
Mawlike,23.63,94.42
Kalaywa,23.2,94.3
Kalay,23.2,94.07
Pinlaebu,24.08,95.37
Tamu,24.2,94.3
Minkim,22.87,94.15
Kanbalu,23.2,95.68
Shwebo,22.58,95.72
Monywa,22.1,95.15
Sagaing,21.9,96.58
Yeu,22.75,95.42
Kyaemone,22.15,95.15
Myinmu,21.93,95.58
Hinthada,17.4,95.25
Maubin,16.73,95.65
Phyarpon,16.27,95.67
Pathein,16.77,94.77
Myaugmya,16.45,95.06
Ngathaigyaung,17.4,95.08
Zalun,17.48,95.56
Nyaungtone,17.05,95.64
Labutta,16.15,94.76
Hainggyigyun,16.02,94.34
Dawei,14.1,98.22
Myeik,12.43,98.6
Kawthong,9.98,98.55
Launglone,13.97,98.12
Putao,27.33,97.42
Myitkhina,25.37,97.4
Bhamo,24.27,97.2
Machanbaw,27.3,97.59
Mohnyin,24.78,96.37
Mogaung,24.93,97.18
Loikaw,19.68,97.22
Bawlakhae,19.18,97.34
Hpasaung,18.87,97.3
Hpa-an,16.75,97.67
Hpa-an(Agro),16.88,97.63
Kawkayeik,16.5,98.25
Myawady,16.68,98.5
Hlaingbwe,17.12,97.82
Kya-In-Seikkyi,16.04,98.12
Tandaunggyi,19.97,96.67
Shwegwin,17.16,97.64
Paing Kyone,17.01,97.59
Shan Ywar Thit,17.43,97.88
Kamamaung,17.34,97.63
Hpapun,18,97.35
Kyaikdon,16,98.39
Payar Thonesu,15.13,98.38
Mindat,21.38,93.95
Hakha,22.65,93.62
Paletwa,21.3,92.85
Falam,22.92,93.68
Tiddim,23.38,93.7
Matupi,21.6,93.44
Tongzan,23.6,93.63
Ramthlo,22.54,93.27
Vaar,22.5,94.4
Thaton,16.92,97.37
Mawlamyine,16.44,97.66
Yay,15.25,97.87
Mudon,16.26,97.72
Kyeikkhame,16.08,97.57
Belin,17.22,97.23
Theinzayat,17.52,96.88
Paung,16.62,97.46
Chaungsone,16.36,97.54
Kyeikmayaw,16.37,97.72
Maungdaw,20.87,92.35
Kyauktaw,20.85,92.63
Sittwe,20.13,92.88
Kyaukphyu,19.42,93.55
Thandwe,18.47,94.35
Gwa,17.58,94.58
Ann,19.78,94.03
Taungkok,18.85,94.25
Myaukoo,20.5,93.19
Maungaung,19.77,94
Pauktaw,20.14,93.08
Pon Na Gyun,20.33,93
Mye Bon,20.05,93.37
Buthitaung,20.87,92.53
Ran Bree,19.08,93.87
Min Bya,20.37,93.26
Hsipaw,22.6,97.3
Lashio,22.93,97.75
Kyaukmae,22.54,97.03
Naungcho,22.33,96.8
Moemate,23.11,96.67
Kunlong,23.41,98.64
Taunggyi,20.78,97.05
Namsam,20.88,97.73
Pinlaung,20.13,96.77
Heho,20.72,96.83
Loilin,20.92,97.55
Nyaungshwe,20.56,96.93
Kengtung,21.3,99.62
Minesat,20.55,99.27
Mongyang,21.84,99.68
Singu,22.54,95.99
Thabeikkyin,22.89,95.98
Myit Nge,21.85,96.07
Singaing(s),21.95,96.04
Taungtha(),21.29,95.44
Ta gaung,23.49,96.01
Patheingyi,21.99,96.16
Nganzun,21.89,95.69
Aungmyaytharzan,22,96
Chanayetharsan,21.9,96.01
Pyawbwe,20.5,96.05
Madaya,22.21,96.12
Mahlaing,21.1,96.64
Natogyi,21.42,95.65
Myittha,21.95,96.08
Waigyi,20.9,96.05
Wundwin,21.09,96.03
Shwesaryan,21.5,96.13
Amarapura,21.9,96.05
Zipingyi,21.52,96.2
Letpadan,17.84,95.75
Ngape,20.07,94.46
Nanyun,26.98,96.17
Paung Byin,24.3,94.8
Wuntho,23.8,95.7
Kawlin,23.9,95.69
Kani,22.43,94.84
Kyaunggon,17.1,95.18
Dedaye,16.4,95.89
Kyaiklat,16.44,95.72
Ngapudaw,16.54,94.69
Seik tha,16.49,95.33
Bogale,16.29,95.4
Kyangin,18.34,95.23
Ingapu,17.81,95.27
Lemyethna,17.59,95.17
Thabaung,17.04,94.8
Danubyu,17.26,95.58
Mawlamyinegyun,16.38,95.26
Einme,16.89,95.18
Kangyidaunt,16.93,94.89
Kyonpyaw,17.3,95.19
Wakema,16.6,95.18
Pantaw,16.98,95.47
Myanaung,18.27,95.32
Yephyu,14.24,98.2
Thayetchaung,13.87,98.26
Tanintharyi,12.09,99.01
Kyunsu,11.8,98.52
Pulaw,12.97,98.65
Bokepyin,11.26,98.76
PaungDe,18.49,95.51
Zigon,18.34,95.62
Waw,17.48,96.68
Tachileik,20.45,99.9
Mongpyin,21.35,99.02
Monghpyak,20.88,99.92
Mongyawng,21.3,100.6
Panglong,20.99,97.53
Mawkmai,20.23,97.73
Langkho,20.34,98
Mongpan,20.32,98.37
Pintaya,97.28,21.57
YwarNgan,96.75,21.28
Mongton,99.17,20.48
Homein,98.33,20.27
Laihka,98.23,21.48
Kalaw,96.57,20.64
Ywangan,96.45,21.17
Hsihseng,97.25,20.16
Mongket,99.46,21.75
Mongkung,97.53,21.61
Shwe Gu,24.23,96.77
Chipwi,25.89,98.13
Myintsone,25.79,97.39
Muse,23.58,97.54
Dagon (Seikan),16.85,96.27
Dagon (South),16.88,96.24
Dala,16.76,96.16
Hlaing Thayar,16.88,96.05
Shwe Pyithar,16.98,96.08
Pyigyitagon,21.92,96.08
